name,platform,tissue,modality,kind,unit,n_units,n_gex_genes,area_mm2,total_gex_transcripts,median_transcripts_per_cell,mean_transcripts_per_cell,median_genes_per_cell,transcripts_per_mm2,cells_per_mm2,negctrl_probe_frac_of_gex,negctrl_codeword_frac_of_gex,negctrl_norm_rate,L1_n_genes_present,L1_median_transcripts_per_cell,L1_median_genes_per_cell,L1_mean_tx_per_gene_per_cell,L1_transcripts_per_mm2,L1_transcripts_per_mm2_per_gene,L1_frac_genes_detected_per_cell,L2_n_genes_present,L2_median_transcripts_per_cell,L2_mean_tx_per_gene_per_cell,L2_transcripts_per_mm2,L2_transcripts_per_mm2_per_gene
stdxenium_breast,Xenium 313-plex,breast,imaging,xenium,cell,167780,313,41.1187,3.2103e+07,164,191.34,64,780739,4080.38,0.000883875,6.64425e-05,0.00988046,304,160,62,0.612853,760205,2500.68,0.202568,187,96,0.601606,459045,2454.78
prime5k_breast,Xenium Prime 5K,breast,imaging,xenium,cell,699110,5101,155.16,7.15683e+07,49,102.371,46,461256,4505.74,1.14017e-05,3.39536e-06,0.001454,187,3,2,0.0283147,23857.2,127.579,0.0203092,4843,46,0.0193426,422081,87.1528
wta_breast,Xenium WTA (Atera),breast,imaging,xenium,cell,170057,18028,58.9444,5.0138e+08,2116,2948.3,1543,8.50598e+06,2885.04,6.97675e-06,0.000166433,0.0015528,304,62,30,0.305027,267525,880.015,0.103086,4843,688,0.196301,2.74278e+06,566.338
visiumhd65_breast_8um,Visium HD 6.5mm (8um bin),breast,sequencing,hd_bin,8um_bin,663857,18085,42.4868,6.43474e+07,68,96.9296,63,1.51453e+06,15625,,,,304,2,2,0.0100527,47750.5,157.074,0.00903231,4843,19,0.00529617,400771,82.7526
visiumhd11_breast_8um,Visium HD 11mm (8um bin),breast,sequencing,hd_bin,8um_bin,415161,18085,26.5703,5.66699e+07,59,136.501,55,2.13283e+06,15625,,,,304,2,2,0.0127291,60463.4,198.893,0.0108193,4843,16,0.00784253,593459,122.539
visiumhd11_breast_seg,Visium HD 11mm (segmented cell),breast,sequencing,hd_seg,cell,117730,18085,,5.04692e+07,241,428.686,218,,,,,,304,7,6,0.0398135,,,0.029348,4843,67,0.0246551,,
prime5k_cervical,Xenium Prime 5K,cervical,imaging,xenium,cell,840387,5101,113.855,7.77559e+07,60,92.524,53,682938,7381.2,8.32091e-06,3.16375e-06,0.00106112,187,3,3,0.0237007,32713.7,174.939,0.0173804,4843,55,0.0176719,631721,130.44
wta_cervical,Xenium WTA (Atera),cervical,imaging,xenium,cell,717576,18028,79.4184,9.20413e+08,929,1282.67,691,1.15894e+07,9035.38,6.38952e-06,0.000121805,0.0014221,304,29,17,0.142035,390136,1283.34,0.0622378,4843,316,0.0899097,3.9343e+06,812.368
visiumhd65ff_breast_seg,Visium HD 6.5mm FF probe (segmented cell),breast,sequencing,hd_seg,cell,38993,18132,,3.84712e+08,6637,9866.18,2728,,,,,,304,192,73,1.00111,,,0.237807,4842,1364,0.447732,,
cosmx_breast,CosMx WTx (Bruker),breast,imaging,cosmx,cell,152451,18942,28.2818,3.036e+08,1319,1991.46,977,1.07348e+07,5390.42,0.000729091,,0.276209,,,,,,,,,,,,
stratamap_breast,Illumina StrataMap,breast,sequencing,stratamap_sbc,1um SBC feature,44796375,19025,55.4185,2.91276e+09,3109,3726.7,1572,5.25594e+07,,,,,304,65,,,1.18844e+06,3909.33,,4843,,,9.68134e+06,1999.04
