gene,count
A2ML1,1039
AAMP,24835
AAR2,10188
AARSD1,9100
ABAT,11038
ABCA1,26785
ABCA10,9413
ABCA3,11952
ABCA4,1144
ABCA7,11713
ABCA8,7207
ABCB1,2079
ABCB4,2024
ABCB6,6653
ABCC1,21994
ABCC12,2239
ABCC2,1791
ABCC3,2383
ABCC4,2174
ABCC6,3903
ABCC8,1486
ABCC9,3701
ABCD1,5950
ABCD3,7440
ABCD4,3952
ABCF3,8219
ABCG1,10096
ABCG2,1164
ABHD11,6292
ABHD6,7157
ABI3,11466
ABI3BP,14452
ABL1,21011
ABL2,22314
ABO,2528
ABTB1,3327
ABTB2,9337
AC007906.2,3682
ACAA2,12220
ACACA,31554
ACACB,8661
ACAP1,8704
ACAP2,5428
ACAT1,4481
ACE,7428
ACE2,803
ACHE,3700
ACKR3,4026
ACLY,28282
ACOD1,792
ACP5,4136
ACPP,764
ACRBP,2128
ACRV1,771
ACSL4,16685
ACTBL2,1097
ACTL6A,12797
ACTL7A,749
ACTN1,10128
ACTN2,987
ACTN4,48931
ACVR1,4704
ACVR1B,13981
ACVR2A,6427
ACVRL1,4261
ACYP2,5268
ADA,9702
ADAM10,26916
ADAM12,15495
ADAM17,13788
ADAM28,3643
ADAM33,2814
ADAM8,29711
ADAM9,44111
ADAMDEC1,5472
ADAMTS1,36929
ADAMTS12,5284
ADAMTS14,6365
ADAMTS19,745
ADAMTS2,6515
ADAMTS4,15432
ADAMTS5,1313
ADAMTSL3,2716
ADAR,92861
ADCY2,530
ADCYAP1,1330
ADCYAP1R1,929
ADD1,32519
ADGRA1,898
ADGRA2,8821
ADGRA3,5224
ADGRB1,2045
ADGRB2,20325
ADGRD1,1270
ADGRD2,442
ADGRE1,1598
ADGRE2,6314
ADGRE5,25551
ADGRG5,2570
ADGRG6,2644
ADGRL1,22114
ADGRL4,3319
ADIPOQ,6446
ADIPOR1,51376
ADIPOR2,7309
ADM,9461
ADNP,49763
ADORA1,38830
ADORA2A,7436
ADORA2B,920
ADORA3,1406
ADRA1A,1302
ADRA1B,986
ADRA1D,953
ADRA2A,13959
ADRA2B,1122
ADRA2C,1762
ADRB1,12034
ADRB2,2622
ADRB3,2088
ADTRP,3613
AEBP1,12584
AFAP1L2,3914
AFF1,21231
AFF2,1191
AFG1L,2669
AFM,1357
AGAP1,28861
AGAP3,12320
AGER,2614
AGMAT,3290
AGO1,10710
AGR2,63177
AGR3,26895
AGRP,2017
AGTR1,10911
AGTR2,990
AGXT,715
AHCY,55567
AHR,21283
AHRR,1419
AHSG,370
AICDA,1781
AIF1,45940
AIF1L,2116
AIFM1,12405
AIM2,3773
AIMP2,13248
AIP,9767
AIRE,1619
AJAP1,3546
AKAP11,27096
AKAP4,1022
AKAP8,32522
AKR1B1,6554
AKR1C3,1128
AKT1,74040
AKT2,28862
AKT3,11242
AKTIP,16262
ALAD,11603
ALCAM,55394
ALDH1B1,7863
ALDH2,24359
ALDH3A2,19868
ALDH7A1,13867
ALDOA,37393
ALG11,30646
ALG13,26048
ALG2,19879
ALG6,3889
ALG9,5718
ALK,614
ALKBH5,22239
ALOX12,1202
ALOX15,2041
ALOX5,8188
ALPK1,3891
ALPK3,2869
ALPL,10730
ALX1,594
ALYREF,31293
AMACR,4378
AMER1,3363
AMFR,45516
AMH,225
AMIGO1,1895
AMIGO3,2211
AMOT,2876
AMOTL2,19778
ANAPC1,20649
ANGPT1,1404
ANGPT2,1970
ANGPTL2,7817
ANGPTL3,846
ANGPTL4,4533
ANGPTL6,2349
ANGPTL7,1362
ANGPTL8,860
ANK1,1044
ANKHD1,22714
ANKK1,946
ANKRD13A,38277
ANKRD13D,15692
ANKRD17,22461
ANKRD30A,112816
ANKRD33B,10563
ANKRD40,16292
ANKRD44,7132
ANKRD6,2470
ANKS1A,3719
ANKS6,2474
ANKZF1,11366
ANO1,40308
ANO3,1005
ANP32E,15630
ANPEP,71830
ANXA10,917
ANXA2,78908
ANXA3,1816
ANXA5,46446
ANXA8,3538
AOAH,9728
AOC3,9013
AOX1,2060
AP1B1,21413
AP1M1,14009
AP1S3,9382
AP2A1,23598
AP2A2,8809
AP2M1,65392
AP3B2,3475
AP3D1,34580
AP3M2,6940
AP5B1,30230
APAF1,9000
APC,3781
APCDD1,1822
APELA,620
APEX1,30080
APEX2,5056
APH1B,6243
API5,25480
APLF,4315
APLN,1888
APLNR,4068
APMAP,36257
APOB,493
APOBEC3B,354
APOBEC3C,9398
APOBEC3D,2490
APOBEC3F,3280
APOBEC3G,5666
APOL1,18404
APOL2,37547
APOL3,3642
APOL6,26008
APOM,2657
APP,101133
APPBP2,16953
APTX,26133
AQP1,40081
AQP4,309
AQP5,1012
AQP7,5964
AQP8,494
AQP9,1920
AR,7105
ARC,1943
ARF1,153640
ARF6,81583
ARFIP1,6492
ARG1,669
ARG2,2325
ARHGAP35,32958
ARHGAP36,1297
ARHGEF2,30879
ARHGEF7,5437
ARID1A,17956
ARID3B,4298
ARL4D,4201
ARL8B,97717
ARMC5,3605
ARMC7,6383
ARMH3,11164
ARNT,16516
ARNTL,4100
ARR3,682
ARRB1,8512
ARRB2,25288
ARRDC3,11856
ART1,529
ART3,944
ART4,1033
ARX,856
ASCC2,8855
ASCC3,18722
ASCL1,3906
ASCL2,1805
ASF1B,4186
ASH2L,25505
ASIC1,1896
ASPM,4473
ASPN,3864
ASTN2,7040
ASXL1,16914
ATAD3A,6292
ATF1,11282
ATF2,14246
ATF3,19254
ATF4,184759
ATF6,37038
ATG10,4256
ATG16L1,12482
ATG2A,4243
ATG5,9130
ATG7,4370
ATIC,21342
ATL1,1328
ATL2,18245
ATL3,24007
ATM,15805
ATOH1,525
ATOH7,1245
ATOH8,1444
ATP10D,5625
ATP13A2,7711
ATP1A1,37985
ATP2A2,47429
ATP2B1,16007
ATP5F1A,56576
ATP5F1C,34546
ATP6V1B1,4306
ATP6V1H,15307
ATP7A,4351
