gene,count
A2ML1,53653
AAMP,21514
AAR2,5458
AARSD1,4834
ABAT,2432
ABCA1,23362
ABCA10,4081
ABCA3,3242
ABCA4,1514
ABCA7,9733
ABCA8,4068
ABCB1,2164
ABCB4,1158
ABCB6,5535
ABCC1,27715
ABCC12,1061
ABCC2,1158
ABCC3,1529
ABCC4,3320
ABCC6,2810
ABCC8,993
ABCC9,5523
ABCD1,3584
ABCD3,4558
ABCD4,4952
ABCF3,8434
ABCG1,6830
ABCG2,3444
ABHD11,2815
ABHD6,8831
ABI3,11704
ABI3BP,23546
ABL1,25657
ABL2,9061
ABO,5419
ABTB1,3068
ABTB2,8096
AC007906.2,4734
ACAA2,6732
ACACA,20484
ACACB,3410
ACAP1,6228
ACAP2,16292
ACAT1,4693
ACE,8270
ACE2,2359
ACHE,2604
ACKR3,14450
ACLY,12819
ACOD1,754
ACP5,2349
ACPP,2247
ACRBP,1544
ACRV1,660
ACSL4,19134
ACTBL2,972
ACTL6A,22575
ACTL7A,810
ACTN1,10857
ACTN2,455
ACTN4,74235
ACVR1,7185
ACVR1B,15736
ACVR2A,11220
ACVRL1,5358
ACYP2,5141
ADA,12085
ADAM10,34929
ADAM12,22915
ADAM17,21163
ADAM28,3250
ADAM33,9191
ADAM8,15772
ADAM9,44484
ADAMDEC1,5671
ADAMTS1,95609
ADAMTS12,6891
ADAMTS14,7775
ADAMTS19,13692
ADAMTS2,21660
ADAMTS4,28377
ADAMTS5,3135
ADAMTSL3,4955
ADAR,46444
ADCY2,510
ADCYAP1,2137
ADCYAP1R1,2180
ADD1,27559
ADGRA1,510
ADGRA2,27746
ADGRA3,6820
ADGRB1,1263
ADGRB2,6620
ADGRD1,3309
ADGRD2,346
ADGRE1,968
ADGRE2,3727
ADGRE5,16294
ADGRG5,2007
ADGRG6,3775
ADGRL1,11623
ADGRL4,2656
ADIPOQ,1280
ADIPOR1,38463
ADIPOR2,8817
ADM,53051
ADNP,40619
ADORA1,1804
ADORA2A,1458
ADORA2B,2084
ADORA3,1521
ADRA1A,1885
ADRA1B,627
ADRA1D,757
ADRA2A,13981
ADRA2B,1072
ADRA2C,12662
ADRB1,9175
ADRB2,3498
ADRB3,729
ADTRP,3441
AEBP1,38961
AFAP1L2,30936
AFF1,23511
AFF2,2852
AFG1L,2613
AFM,959
AGAP1,15952
AGAP3,10038
AGER,1492
AGMAT,2292
AGO1,10037
AGR2,27975
AGR3,622
AGRP,1838
AGTR1,1086
AGTR2,2600
AGXT,743
AHCY,111720
AHR,21557
AHRR,1836
AHSG,569
AICDA,1246
AIF1,60222
AIF1L,2228
AIFM1,14065
AIM2,4417
AIMP2,9801
AIP,8117
AIRE,1854
AJAP1,3772
AKAP11,40692
AKAP4,769
AKAP8,18559
AKR1B1,13162
AKR1C3,1929
AKT1,53473
AKT2,21728
AKT3,17691
AKTIP,10138
ALAD,8426
ALCAM,21158
ALDH1B1,8418
ALDH2,37391
ALDH3A2,24315
ALDH7A1,15075
ALDOA,43097
ALG11,22192
ALG13,24449
ALG2,14453
ALG6,5483
ALG9,4967
ALK,480
ALKBH5,29765
ALOX12,4928
ALOX15,1493
ALOX5,5052
ALPK1,6014
ALPK3,2938
ALPL,4127
ALX1,767
ALYREF,24704
AMACR,3561
AMER1,3829
AMFR,14054
AMH,190
AMIGO1,1359
AMIGO3,1474
AMOT,7318
AMOTL2,33790
ANAPC1,17610
ANGPT1,1864
ANGPT2,2153
ANGPTL2,21137
ANGPTL3,682
ANGPTL4,3760
ANGPTL6,1923
ANGPTL7,1295
ANGPTL8,748
ANK1,721
ANKHD1,12569
ANKK1,636
ANKRD13A,39502
ANKRD13D,5412
ANKRD17,14542
ANKRD30A,893
ANKRD33B,7684
ANKRD40,8300
ANKRD44,4705
ANKRD6,4480
ANKS1A,4070
ANKS6,5071
ANKZF1,7897
ANO1,34257
ANO3,938
ANP32E,24310
ANPEP,11445
ANXA10,820
ANXA2,335604
ANXA3,18920
ANXA5,93593
ANXA8,35793
AOAH,4540
AOC3,15972
AOX1,1807
AP1B1,23533
AP1M1,13962
AP1S3,7873
AP2A1,21942
AP2A2,10836
AP2M1,121243
AP3B2,1460
AP3D1,20883
AP3M2,2706
AP5B1,15587
APAF1,8133
APC,5117
APCDD1,16717
APELA,347
APEX1,33306
APEX2,10255
APH1B,4046
API5,27969
APLF,11762
APLN,1489
APLNR,2799
APMAP,23043
APOB,445
APOBEC3B,1168
APOBEC3C,25231
APOBEC3D,2398
APOBEC3F,3076
APOBEC3G,8987
APOL1,107877
APOL2,40834
APOL3,4730
APOL6,25599
APOM,2603
APP,166630
APPBP2,11445
APTX,19221
AQP1,44959
AQP4,318
AQP5,1465
AQP7,7550
AQP8,323
AQP9,1479
AR,8242
ARC,1178
ARF1,76589
ARF6,68741
ARFIP1,5576
ARG1,540
ARG2,4675
ARHGAP35,27080
ARHGAP36,448
ARHGEF2,18061
ARHGEF7,3318
ARID1A,17687
ARID3B,3647
ARL4D,21962
ARL8B,96389
ARMC5,3360
ARMC7,3311
ARMH3,7789
ARNT,15953
ARNTL,4287
ARR3,537
ARRB1,4747
ARRB2,18739
ARRDC3,58365
ART1,428
ART3,758
ART4,706
ARX,685
ASCC2,9056
ASCC3,24385
ASCL1,943
ASCL2,1953
ASF1B,9279
ASH2L,13464
ASIC1,2925
ASPM,8559
ASPN,9011
ASTN2,2955
ASXL1,22696
ATAD3A,3725
ATF1,13337
ATF2,17297
ATF3,14189
ATF4,145960
ATF6,23150
ATG10,5258
ATG16L1,6011
ATG2A,3044
ATG5,16408
ATG7,2958
ATIC,14655
ATL1,1486
ATL2,17458
ATL3,30084
ATM,13843
ATOH1,379
ATOH7,1304
ATOH8,3051
ATP10D,12110
ATP13A2,4966
ATP1A1,135301
ATP2A2,68821
ATP2B1,16054
ATP5F1A,83476
ATP5F1C,38564
ATP6V1B1,355
ATP6V1H,9987
ATP7A,5849
ATP7B,1313
ATPAF1,7123
ATPSCKMT,8116
ATR,12885
ATRX,34723
ATXN1,13927
ATXN1L,4623
ATXN2,13726
ATXN2L,51356
ATXN3,24245
ATXN7L2,1595
AUNIP,5292
AURKA,6527
AURKB,16746
AURKC,1264
AVPI1,43494
AVPR1A,13333
AVPR1B,1205
AVPR2,838
AXIN1,20812
AXIN2,2458
AXL,26985
B3GAT1,1066
B4GAT1,11020
BAALC,2799
BAAT,321
BACE1,11830
BACE2,22596
BACH2,2555
BAD,3050
BAG2,7493
BAG3,23202
BAG6,19877
BAIAP2,8813
BAK1,17773
BANK1,1840
BAP1,13580
BARD1,10409
BARHL2,640
BARX2,1564
BATF,6105
BATF3,1964
BAX,6062
BAZ2B,5871
BBC3,4548
BCAM,13731
BCAN,1607
BCAR1,3256
BCAR3,4905
BCAR4,761
BCAS3,4535
BCCIP,20847
BCHE,3210
BCKDK,13194
BCL10,20538
BCL11A,21826
BCL11B,4203
BCL2,15423
BCL2A1,3570
BCL2L1,107042
BCL2L11,10568
BCL2L12,3418
BCL2L13,13078
BCL2L2,46757
BCL3,20494
BCL6,6492
BCL6B,2743
BCL7B,11458
BCL7C,6536
BCOR,8881
BCORL1,3413
BCR,24840
BDKRB1,2112
BDKRB2,7146
BDNF,605
BEAN1,1881
BECN1,36192
BEX2,4306
BFSP1,1786
BFSP2,1100
BGN,364067
BHMT,796
BICRAL,7309
BID,9545
BIK,9054
BIRC2,23475
BIRC3,37001
BIRC5,41200
BIRC7,1014
BLK,2011
BLM,2069
BLNK,2756
BLOC1S2,20921
BLVRA,15273
BMI1,20028
BMP2,11201
BMP2K,14516
BMP4,2004
BMP5,1043
BMP6,3704
BMP7,42637
BMP8A,8258
BMP8B,2118
BMPER,4223
BMPR1A,12945
BMPR1B,882
BMPR2,46864
BNC1,15805
BNC2,9679
BNIP3,4042
BOLL,1163
BPIFB1,37223
BRAF,21822
BRCA1,9308
BRCA2,6426
BRD3,12746
BRD4,57311
BRDT,997
BRI3BP,12833
BRINP1,588
BRIP1,11546
BRIX1,11866
BRSK2,432
BSDC1,15946
BST1,3182
BTAF1,17387
BTBD9,3961
BTK,4272
BTLA,3113
BTN3A1,8199
BTNL2,869
BTRC,5435
BUB1,7598
BUB1B,6612
BVES,1734
C11ORF96,90247
C1QBP,39427
C1QC,78164
C1QL3,879
C1QTNF1,5190
C1QTNF6,8259
C1QTNF9,1557
C1RL,14603
C20ORF85,3495
C2ORF88,7355
C3AR1,3140
C4A,11381
C4B,6515
C5,3012
C5AR1,15237
C6,537
C7,11699
C8B,505
C8G,716
C9,439
CA10,970
CA12,95550
CA14,1025
CA4,1044
CA9,6478
CABCOCO1,1940
CABP4,748
CABYR,2020
CACNA1B,896
CACNA1C,3586
CACNA1D,2139
CACNA1G,6119
CACNA1H,3148
CACNA2D1,2921
CACNG3,521
CACNG4,777
CACNG5,344
CACUL1,16331
CACYBP,25252
CAD,6400
CADM3,4032
CADM4,14396
CALB1,1244
CALB2,1201
CALCA,330
CALCB,1661
CALCR,625
CALCRL,6863
CALM3,47572
CALML3,1747
CALR3,767
CAMK1,2694
CAMK2A,1580
CAMK2B,656
CAMK2D,6832
CAMK2G,3787
CAMKV,852
CAMP,636
CAMSAP2,19004
CAND1,18545
CANX,77474
CAPN1,15276
CAPN3,1433
CARD10,3119
CARD11,4195
CARD14,2746
CARD8,5423
CARD9,540
CARF,6798
CARM1,6290
CARTPT,684
CASC8,849
CASK,18683
CASP1,9512
CASP10,4559
CASP2,26216
CASP3,37264
CASP6,13648
CASP7,22790
CASP8,10080
CASP8AP2,14593
CASP9,7116
CASQ2,541
CASR,823
CASS4,6145
CASZ1,6129
CAT,9861
CATSPER2,1394
CAV2,27990
CAVIN2,6533
CAVIN3,7017
CBARP,1236
CBFB,30346
CBL,4419
CBLB,7602
CBLIF,724
CBLN1,972
CBLN3,2528
CBLN4,712
CBR1,14976
CBS,1180
CBSL,1208
CBWD2,32876
CBX1,42601
CBX3,90142
CBX5,31433
CBX7,20109
CC2D1A,7321
CCAR2,8645
CCAT2,1509
CCBE1,4680
CCDC102B,2064
CCDC103,1762
CCDC113,1377
CCDC124,7519
CCDC136,1779
CCDC137,7668
CCDC14,15087
CCDC141,1025
CCDC170,1779
CCDC27,952
CCDC33,1262
CCDC43,12515
CCDC50,32899
CCDC51,3368
CCDC57,4096
CCDC6,30498
CCDC61,3311
CCDC62,1730
CCDC7,8530
CCDC71L,88982
CCDC77,4717
CCDC80,92898
CCDC86,5303
CCDC9,15608
CCDC91,16693
CCK,572
CCKAR,441
CCKBR,1068
CCL1,740
CCL11,2222
CCL13,1655
CCL14,6831
CCL15,651
CCL16,1129
CCL17,848
CCL18,2159
CCL19,20599
CCL2,26753
CCL20,22686
CCL22,8309
CCL23,893
CCL24,1824
CCL25,505
CCL26,1956
CCL27,1351
CCL28,2449
CCL7,709
CCL8,1178
CCN1,34640
CCN2,55850
CCN3,4848
CCN4,40883
CCN5,16791
CCNA1,989
CCNA2,11782
CCNB1,16881
CCNB2,10702
CCNB3,826
CCND1,13676
CCND2,43003
CCND3,9891
CCNDBP1,14203
CCNE1,5201
CCNO,1727
CCNT1,8436
CCNY,22743
CCR1,3332
CCR2,3960
CCR3,677
CCR4,2434
CCR5,1453
CCR6,2445
CCR7,944
CCR8,1590
CCR9,956
CCRL2,1664
CCT2,38458
CCT3,65990
CCT5,56701
CCT6A,36592
CCT7,48075
CCT8,62071
CD101,1444
CD109,44256
CD14,14040
CD151,18776
CD160,1171
CD163,7281
CD177,2037
CD180,1110
CD19,3704
CD1A,1878
CD1B,772
CD1C,2125
CD1D,2050
CD1E,2314
CD2,11449
CD200,6597
CD207,3481
CD209,2114
CD22,2573
CD226,3440
CD244,721
CD247,6034
CD248,6872
CD27,6282
CD274,7403
CD276,20168
CD28,6199
CD2AP,16717
CD2BP2,13300
CD300A,5720
CD300C,1592
CD300E,3472
CD302,14018
CD320,767
CD33,1027
CD34,16088
CD36,4133
CD38,3511
CD3D,13756
CD3E,16097
CD3EAP,3831
CD3G,4104
CD4,17200
CD40,5013
CD40LG,1447
CD44,91882
CD46,24761
CD47,68530
CD5,4558
CD52,50254
CD55,29321
CD58,22097
CD59,68538
CD5L,456
CD6,4097
CD68,15609
CD7,4069
CD70,7028
CD72,1972
CD79A,3829
CD79B,1969
CD80,862
CD82,44518
CD83,19449
CD84,3131
CD86,4481
CD8A,25900
CD8B,4331
CD93,12736
CD96,7302
CD99,110805
CDA,1844
CDAN1,2670
CDC123,14720
CDC14A,5628
CDC20,13586
CDC25A,2254
CDC25C,3887
CDC27,24665
CDC34,11992
CDC37,16506
CDC42,66577
CDC42BPG,10915
CDC6,9991
CDC73,13128
CDCA2,4948
CDCA3,6032
CDCA7L,8197
CDCP1,17112
CDH1,28571
CDH11,25728
CDH13,12133
CDH16,789
CDH2,5487
CDH22,657
CDH23,1148
CDH3,25762
CDH5,1873
CDH6,1813
CDH7,618
CDHR1,1546
CDHR2,480
CDHR4,1812
CDK1,27210
CDK10,5682
CDK14,5881
CDK16,38320
CDK17,16516
CDK18,7680
CDK2,21831
CDK3,4906
CDK4,11623
CDK5,2902
CDK5RAP1,19725
CDK6,4264
CDK7,9444
CDK8,8735
CDK9,12653
CDKAL1,12232
CDKL1,1939
CDKL3,1691
CDKN1A,391535
CDKN1B,74368
CDKN1C,12272
CDKN2A,44953
CDKN2AIP,9011
CDKN2B,88293
CDKN3,9357
CDR2L,6522
CDSN,1070
CDV3,62953
CDX1,1729
CDX2,633
CEACAM1,10323
CEACAM3,553
CEACAM5,122564
CEACAM8,1115
CEBPA,6240
CELSR1,15972
CELSR2,23137
CELSR3,1695
