gene,count
ABCC11,171000
ACTA2,317695
ACTG2,277046
ADAM9,192360
ADGRE5,44978
ADH1B,72290
ADIPOQ,12255
AGR3,44049
AHSP,415
AIF1,102821
AKR1C1,16914
AKR1C3,8590
ALDH1A3,24573
ANGPT2,14584
ANKRD28,39994
ANKRD29,15617
ANKRD30A,607646
APOBEC3A,1199
APOBEC3B,15091
APOC1,50982
AQP1,124645
AQP3,16009
AR,107740
AVPR1A,10838
BACE2,64332
BANK1,17906
BASP1,165392
BTNL9,24722
C15ORF48,12800
C1QA,49359
C1QC,62818
C2ORF42,14295
C5ORF46,6415
C6ORF132,29596
CAV1,103984
CAVIN2,13827
CCDC6,206125
CCDC80,346660
CCL20,2401
CCL5,63587
CCL8,8749
CCND1,854687
CCPG1,110401
CCR7,20889
CD14,68475
CD163,73376
CD19,5382
CD1C,14327
CD247,27234
CD27,19200
CD274,6030
CD3D,27803
CD3E,100873
CD3G,28506
CD4,136921
CD68,136777
CD69,36305
CD79A,11754
CD79B,3265
CD80,4789
CD83,21351
CD86,33417
CD8A,68068
CD8B,21108
CD9,313616
CD93,77688
CDC42EP1,16463
CDH1,288703
CEACAM6,387711
CEACAM8,11914
CENPF,56311
CLCA2,3954
CLDN4,74819
CLDN5,3344
CLEC14A,37018
CLEC9A,4128
CLECL1,6024
CLIC6,3502
CPA3,12085
CRHBP,116
CRISPLD2,76329
CSF3,1214
CTH,5365
CTLA4,20683
CTSG,5270
CTTN,378695
CX3CR1,13211
CXCL12,383726
CXCL16,54027
CXCL5,1836
CXCR4,234724
CYP1A1,1051
CYTIP,70865
DAPK3,16923
DERL3,7849
DMKN,21106
DNAAF1,3215
DNTTIP1,49055
DPT,41710
DSC2,80877
DSP,200987
DST,300688
DUSP2,11249
DUSP5,50656
EDN1,9415
EDNRB,28640
EGFL7,8808
EGFR,48631
EIF4EBP1,30815
ELF3,93312
ELF5,6337
ENAH,220278
EPCAM,712193
ERBB2,1961520
ERN1,69359
ESM1,10136
ESR1,43933
FAM107B,137397
FAM49A,19886
FASN,432936
FBLIM1,44962
FBLN1,120063
FCER1A,16184
FCER1G,150362
FCGR3A,38131
FGL2,105723
FLNB,223235
FOXA1,672315
FOXC2,7594
FOXP3,7555
FSTL3,25618
GATA3,733260
GJB2,26291
GLIPR1,73086
GNLY,4884
GPR183,69342
GZMA,39058
GZMB,17226
GZMK,1354
HAVCR2,34355
HDC,72376
HMGA1,107316
HOOK2,41900
HOXD8,57967
HOXD9,12740
HPX,9472
IGF1,99656
IGSF6,55744
IL2RA,14813
IL2RG,64028
IL3RA,13686
IL7R,141612
ITGAM,21036
ITGAX,38570
ITM2C,117813
JUP,74536
KARS,59469
KDR,31651
KIT,18379
KLF5,81117
KLRB1,51805
KLRC1,12590
KLRD1,16564
KLRF1,7956
KRT14,69829
KRT15,67368
KRT16,16682
KRT23,25919
KRT5,40461
KRT6B,35483
KRT7,1047412
KRT8,519067
LAG3,11321
LARS,167099
LDHB,117435
LEP,1782
LGALSL,22263
LIF,4971
LILRA4,5639
LPL,28643
LPXN,48569
LRRC15,30837
LTB,16491
LUM,943961
LY86,9217
LYPD3,137137
LYZ,219637
MAP3K8,45652
MDM2,340665
MEDAG,19876
MKI67,38199
MLPH,371661
MMP1,6388
MMP12,9414
MMP2,221342
MMRN2,21783
MNDA,35189
MPO,463
MRC1,62526
MS4A1,19627
MUC6,743
MYBPC1,1420
MYH11,35068
MYLK,143760
MYO5B,148515
MZB1,60848
NARS,306365
NCAM1,2490
NDUFA4L2,1700
NKG7,8490
NOSTRIN,18788
NPM3,11990
OCIAD2,51445
OPRPN,8716
OXTR,11741
PCLAF,85751
PCOLCE,15715
PDCD1,597
PDCD1LG2,6937
PDE4A,25114
PDGFRA,122081
PDGFRB,146108
PDK4,173269
PECAM1,119568
PELI1,42884
PGR,6000
PIGR,4191
PIM1,41685
PLD4,4937
POLR2J3,561622
POSTN,822997
PPARG,41807
PRDM1,63995
PRF1,8825
PTGDS,126231
PTN,61345
PTPRC,163606
PTRHD1,46754
QARS,144268
RAB30,34836
RAMP2,30542
RAPGEF3,16985
REXO4,6292
RHOH,89047
RORC,12839
RTKN2,46630
RUNX1,228036
S100A14,232144
S100A4,118641
S100A8,6005
SCD,849301
SCGB2A1,2349
SDC4,49680
SEC11C,124315
SEC24A,122284
SELL,31856
SERHL2,169610
SERPINA3,251012
SERPINB9,83701
SFRP1,126162
SFRP4,156341
SH3YL1,125822
SLAMF1,25687
SLAMF7,52661
SLC25A37,33267
SLC4A1,1499
SLC5A6,82637
SMAP2,83868
SMS,184823
SNAI1,5678
SOX17,8987
SOX18,4511
SPIB,8006
SQLE,89657
SRPK1,94118
SSTR2,2468
STC1,17584
SVIL,132237
TAC1,13586
TACSTD2,586629
TCEAL7,10764
TCF15,818
TCF4,74706
TCF7,25340
TCIM,303216
TCL1A,3175
TENT5C,164803
TFAP2A,86360
THAP2,25608
TIFA,32608
TIGIT,10661
TIMP4,8430
TMEM147,163290
TNFRSF17,7114
TOMM7,521966
TOP2A,88308
TPD52,271985
TPSAB1,13713
TRAC,112655
TRAF4,98619
TRAPPC3,121016
TRIB1,55550
TUBA4A,94122
TUBB2B,25222
TYROBP,15881
UCP1,581
USP53,133897
VOPP1,174187
VWF,83474
WARS,109563
ZEB1,73299
ZEB2,200195
ZNF562,112187
