gene,count
SAMD11,994
NOC2L,1977
KLHL17,873
PLEKHN1,1397
PERM1,152
HES4,5400
ISG15,49867
AGRN,18799
RNF223,319
C1ORF159,1153
TTLL10,117
TNFRSF18,1424
TNFRSF4,465
SDF4,8165
B3GALT6,1286
C1QTNF12,190
UBE2J2,4243
SCNN1D,671
ACAP3,5393
PUSL1,1450
INTS11,8073
CPTP,2225
TAS1R3,205
DVL1,4087
MXRA8,7369
AURKAIP1,9142
CCNL2,23895
ANKRD65,345
TMEM88B,19
VWA1,10085
ATAD3C,932
ATAD3B,2787
ATAD3A,1576
TMEM240,622
SSU72,4690
FNDC10,544
MIB2,2024
MMP23B,393
CDK11B,1689
CDK11A,382
NADK,3482
GNB1,13534
CALML6,186
TMEM52,298
CFAP74,67
GABRD,310
PRKCZ,1715
FAAP20,2998
SKI,5893
RER1,8471
PEX10,1363
PLCH2,523
PANK4,2066
HES5,106
TNFRSF14,3443
PRXL2B,1791
MMEL1,37
ACTRT2,30
PRDM16,77
ARHGEF16,1922
MEGF6,3209
TPRG1L,2424
WRAP73,1538
TP73,304
CCDC27,35
SMIM1,682
LRRC47,3909
CEP104,1706
DFFB,669
C1ORF174,2449
AJAP1,80
NPHP4,674
KCNAB2,1048
CHD5,46
RNF207,528
ICMT,3452
GPR153,689
ACOT7,2223
HES2,383
ESPN,168
TNFRSF25,2148
PLEKHG5,1618
NOL9,2704
TAS1R1,25
ZBTB48,1185
KLHL21,2959
PHF13,1863
THAP3,699
DNAJC11,2757
CAMTA1,3808
VAMP3,4138
PER3,1393
UTS2,127
TNFRSF9,245
ERRFI1,6058
SLC45A1,105
RERE,10257
ENO1,16127
CA6,91
SLC2A7,51
SLC2A5,538
GPR157,1591
H6PD,1639
SPSB1,3523
SLC25A33,1235
TMEM201,1112
PIK3CD,892
CLSTN1,7250
CTNNBIP1,4822
LZIC,3397
NMNAT1,782
RBP7,336
UBE4B,3303
KIF1B,6826
PGD,4986
CENPS,1664
CORT,76
DFFA,2259
PEX14,918
CASZ1,5198
C1ORF127,76
MASP2,49
SRM,7091
EXOSC10,3909
MTOR,2792
ANGPTL7,31
UBIAD1,1257
DISP3,141
FBXO2,1330
FBXO44,2910
FBXO6,1321
MAD2L2,4370
DRAXIN,252
AGTRAP,4162
C1ORF167,38
MTHFR,1892
CLCN6,1293
NPPA,49
NPPB,30
KIAA2013,5045
PLOD1,6696
MFN2,4024
MIIP,2424
TNFRSF8,97
TNFRSF1B,863
VPS13D,2703
DHRS3,1574
AADACL4,39
AADACL3,25
C1ORF158,63
PRAMEF12,21
PRAMEF1,50
PRAMEF11,133
PRAMEF2,42
PRAMEF4,8
PRAMEF10,57
PRAMEF6,17
PRAMEF27,104
HNRNPCL2,38
PRAMEF13,14
PRAMEF18,54
PRAMEF8,36
PRAMEF33,14
PRAMEF15,46
PRAMEF14,119
PRAMEF19,55
PRAMEF20,54
LRRC38,44
PDPN,1393
PRDM2,4152
KAZN,1879
TMEM51,1166
FHAD1,447
EFHD2,6639
CTRC,42
CELA2A,14
CELA2B,46
CASP9,1374
DNAJC16,1535
AGMAT,155
DDI2,2492
PLEKHM2,4016
SLC25A34,152
TMEM82,44
FBLIM1,3656
UQCRHL,220
SPEN,5159
ZBTB17,2207
SRARP,2074
HSPB7,131
CLCNKA,143
CLCNKB,14
FAM131C,83
EPHA2,862
ARHGEF19,3295
CPLANE2,475
FBXO42,3340
SZRD1,5386
SPATA21,80
NECAP2,3673
NBPF1,324
CROCC,1762
MFAP2,3996
ATP13A2,1511
SDHB,7822
PADI2,6135
PADI1,47
PADI3,47
PADI4,40
PADI6,38
RCC2,7172
ARHGEF10L,3249
ACTL8,128
IGSF21,445
KLHDC7A,364
PAX7,126
TAS1R2,28
ALDH4A1,1159
IFFO2,2495
UBR4,5867
EMC1,1728
MRTO4,1721
AKR7A2,2647
SLC66A1,683
CAPZB,9298
MICOS10,14806
NBL1,11564
HTR6,42
TMCO4,1397
RNF186,48
OTUD3,2058
PLA2G2E,38
PLA2G2A,95
PLA2G5,102
PLA2G2D,132
PLA2G2F,35
PLA2G2C,89
UBXN10,666
VWA5B1,55
CAMK2N1,7235
MUL1,1411
FAM43B,57
CDA,116
PINK1,2960
DDOST,2119
KIF17,83
SH2D5,38
HP1BP3,2811
EIF4G3,4018
ECE1,7809
NBPF3,374
ALPL,270
RAP1GAP,1405
USP48,5910
HSPG2,4292
CELA3B,41
CELA3A,53
WNT4,1202
ZBTB40,1258
EPHA8,74
C1QA,5193
C1QC,7699
C1QB,4815
EPHB2,596
LACTBL1,15
TEX46,69
KDM1A,7496
LUZP1,3373
HTR1D,158
HNRNPR,4355
ZNF436,3798
TCEA3,7918
ASAP3,1963
E2F2,408
ID3,3805
ELOA,4053
PITHD1,4389
GALE,4085
HMGCL,2551
FUCA1,2248
CNR2,63
PNRC2,7170
SRSF10,2205
MYOM3,57
IL22RA1,78
IFNLR1,253
GRHL3,487
STPG1,454
NIPAL3,953
RCAN3,2623
NCMAP,148
SRRM1,7611
CLIC4,17045
RUNX3,672
SYF2,3780
RSRP1,14195
RHD,38
TMEM50A,10291
RHCE,206
MACO1,3586
LDLRAP1,2243
MAN1C1,423
SELENON,6160
MTFR1L,3091
AUNIP,547
PAQR7,881
STMN1,975
PAFAH2,1020
EXTL1,225
SLC30A2,335
TRIM63,59
PDIK1L,1743
FAM110D,125
C1ORF232,34
AL391650.1,59
ZNF593,3299
CNKSR1,2558
CATSPER4,66
CEP85,1986
SH3BGRL3,14587
UBXN11,2319
CD52,1499
CRYBG2,263
ZNF683,323
LIN28A,129
DHDDS,2143
ARID1A,5787
PIGV,972
ZDHHC18,2018
SFN,4105
GPN2,679
GPATCH3,1137
NUDC,8633
NR0B2,59
KDF1,1071
TRNP1,604
TENT5B,694
SLC9A1,2216
WDTC1,3953
TMEM222,752
SYTL1,3260
MAP3K6,1599
FCN3,164
CD164L2,248
GPR3,143
WASF2,5444
AHDC1,3216
FGR,396
IFI6,126905
FAM76A,1786
STX12,3860
PPP1R8,5233
THEMIS2,1696
RPA2,1117
SMPDL3B,780
XKR8,612
EYA3,4004
PTAFR,582
DNAJC8,4182
ATP5IF1,7130
SESN2,1667
MED18,1460
PHACTR4,3162
RCC1,2792
TRNAU1AP,1789
TAF12,2913
RAB42,599
GMEB1,1757
YTHDF2,5197
OPRD1,232
EPB41,1883
TMEM200B,328
SRSF4,7026
MECR,1721
PTPRU,2224
MATN1,71
LAPTM5,5293
SDC3,5449
PUM1,7681
NKAIN1,968
SNRNP40,4566
ZCCHC17,3835
FABP3,814
SERINC2,8623
TINAGL1,2709
HCRTR1,29
PEF1,3427
COL16A1,4343
ADGRB2,3028
SPOCD1,655
KHDRBS1,3466
TMEM39B,997
KPNA6,4361
TXLNA,5215
CCDC28B,359
IQCC,466
DCDC2B,57
TMEM234,2370
EIF3I,1633
FAM167B,423
LCK,322
HDAC1,5623
MARCKSL1,27001
TSSK3,87
FAM229A,162
BSDC1,8385
ZBTB8B,77
ZBTB8A,1218
RBBP4,618
SYNC,843
KIAA1522,12271
YARS,1952
S100PBP,3972
FNDC5,83
HPCA,67
TMEM54,4232
RNF19B,3506
AZIN2,1304
TRIM62,568
ZNF362,3484
A3GALT2,54
PHC2,7251
ZSCAN20,582
CSMD2,457
HMGB4,52
C1ORF94,13
SMIM12,2758
GJB5,103
GJB4,42
GJB3,124
GJA4,527
DLGAP3,75
TMEM35B,1811
ZMYM6,1542
ZMYM1,1639
SFPQ,5589
ZMYM4,6485
KIAA0319L,4202
NCDN,1939
TFAP2E,168
PSMB2,6843
C1ORF216,1102
CLSPN,1557
AGO4,2283
AGO1,4566
AGO3,2260
TEKT2,207
ADPRHL2,3661
COL8A2,1348
TRAPPC3,9163
MAP7D1,6560
THRAP3,6018
SH3D21,2702
EVA1B,3690
STK40,3873
LSM10,3080
OSCP1,720
CSF3R,1154
GRIK3,1302
ZC3H12A,3301
MEAF6,9692
SNIP1,1839
DNALI1,2781
GNL2,7827
RSPO1,97
C1ORF109,1826
CDCA8,1753
EPHA10,470
MANEAL,923
YRDC,1855
C1ORF122,7381
MTF1,1938
INPP5B,2641
SF3A3,2675
FHL3,2329
UTP11,2895
POU3F1,92
RRAGC,2957
MYCBP,2901
GJA9,152
RHBDL2,1333
AKIRIN1,4798
NDUFS5,4593
MACF1,11865
BMP8A,736
PABPC4,2907
HEYL,485
NT5C1A,32
HPCAL4,45
PPIE,4438
BMP8B,500
OXCT2,142
TRIT1,2157
MYCL,512
MFSD2A,597
CAP1,2060
PPT1,13014
RLF,3522
TMCO2,66
ZMPSTE24,5564
COL9A2,1664
SMAP2,3507
ZFP69B,895
ZFP69,542
EXO5,1464
ZNF684,618
RIMS3,803
NFYC,2774
KCNQ4,331
CITED4,19158
CTPS1,3535
SLFNL1,127
SCMH1,2788
FOXO6,1376
EDN2,1291
HIVEP3,1695
GUCA2B,21
GUCA2A,57
FOXJ3,3218
RIMKLA,380
ZMYND12,407
PPCS,2467
CCDC30,1295
PPIH,932
YBX1,21770
CLDN19,50
P3H1,1620
TMEM269,96
SVBP,3551
ERMAP,1320
ZNF691,1221
SLC2A1,13987
FAM183A,183
EBNA1BP2,7905
CFAP57,165
TMEM125,2637
C1ORF210,1548
TIE1,363
MPL,88
CDC20,2499
ELOVL1,6436
MED8,6140
SZT2,1213
HYI,3093
PTPRF,25441
KDM4A,3862
ST3GAL3,2151
ARTN,530
IPO13,2337
DPH2,3155
ATP6V0B,10535
B4GALT2,4395
CCDC24,2977
SLC6A9,1454
KLF17,38
KLF18,41
DMAP1,3069
ERI3,6743
RNF220,3220
TMEM53,633
ARMH1,309
KIF2C,2193
BEST4,107
PLK3,2020
TCTEX1D4,120
BTBD19,819
PTCH2,115
EIF2B3,2622
HECTD3,2539
UROD,3533
ZSWIM5,394
HPDL,213
MUTYH,215
TOE1,1197
TESK2,1477
CCDC163,348
MMACHC,650
PRDX1,8164
AKR1A1,7105
NASP,111
CCDC17,224
GPBP1L1,12490
TMEM69,2203
IPP,2153
MAST2,3218
PIK3R3,9588
TSPAN1,2603
P3R3URF,52
POMGNT1,4842
LURAP1,214
RAD54L,943
LRRC41,6191
UQCRH,3812
NSUN4,2409
FAAH,2356
DMBX1,179
TMEM275,53
KNCN,40
MKNK1,1550
MOB3C,1157
ATPAF1,3370
TEX38,89
EFCAB14,8320
CYP4B1,1652
CYP4A11,33
CYP4X1,1680
CYP4Z1,932
CYP4A22,8
PDZK1IP1,3287
TAL1,82
STIL,1706
CMPK1,10957
FOXE3,49
FOXD2,191
TRABD2B,159
SLC5A9,75
SPATA6,1618
AGBL4,335
BEND5,347
ELAVL4,50
DMRTA2,45
FAF1,4940
CDKN2C,1460
C1ORF185,74
RNF11,8802
TTC39A,10887
EPS15,5089
OSBPL9,7246
NRDC,11234
RAB3B,131
TXNDC12,5266
KTI12,761
BTF3L4,10259
ZFYVE9,2620
CC2D1B,1990
ORC1,833
PRPF38A,5384
TUT4,4098
GPX7,1563
SHISAL2A,81
COA7,1069
ZYG11B,3311
ZYG11A,937
ECHDC2,4971
SCP2,11102
PODN,1931
SLC1A7,54
CPT2,2557
CZIB,3030
MAGOH,3347
LRP8,2162
DMRTB1,32
GLIS1,92
NDC1,3949
YIPF1,1246
DIO1,440
HSPB11,3474
LRRC42,3794
LDLRAD1,81
TMEM59,7111
TCEANC2,649
CDCP2,76
CYB5RL,991
SSBP3,2043
ACOT11,998
FAM151A,42
MROH7,255
TTC4,1253
PARS2,600
TTC22,1177
LEXM,78
DHCR24,18753
TMEM61,235
BSND,78
PCSK9,68
USP24,4807
PLPP3,4726
PRKAA2,430
FYB2,278
C8A,44
C8B,56
DAB1,111
OMA1,1784
TACSTD2,29080
MYSM1,2979
JUN,19277
FGGY,651
HOOK1,4046
CYP2J2,643
C1ORF87,48
NFIA,3918
TM2D1,4034
PATJ,21535
L1TD1,88
KANK4,762
USP1,9568
DOCK7,3314
ANGPTL3,94
ATG4C,1498
FOXD3,124
ALG6,2514
ITGB3BP,1861
EFCAB7,1015
PGM1,6651
ROR1,667
UBE2U,4
CACHD1,1203
RAVER2,2667
JAK1,5428
AK4,5045
DNAJC6,432
LEPROT,2763
LEPR,622
PDE4B,3937
SGIP1,698
TCTEX1D1,115
INSL5,41
WDR78,547
MIER1,6578
SLC35D1,1516
C1ORF141,44
IL23R,85
IL12RB2,713
SERBP1,8681
GADD45A,3593
GNG12,5997
DIRAS3,123
WLS,2209
RPE65,61
DEPDC1,1426
LRRC7,33
LRRC40,3827
SRSF11,4265
ANKRD13C,2393
HHLA3,973
CTH,582
PTGER3,2679
ZRANB2,8241
NEGR1,375
LRRIQ3,159
FPGT,2105
TNNI3K,81
LRRC53,65
ERICH3,107
CRYZ,3337
TYW3,2529
LHX8,72
SLC44A5,437
ACADM,5948
RABGGTB,9114
MSH4,97
ASB17,44
ST6GALNAC3,245
ST6GALNAC5,1131
PIGK,1814
AK5,300
AC118549.1,3882
USP33,5307
MIGA1,2877
NEXN,699
FUBP1,11733
DNAJB4,3363
GIPC2,83
PTGFR,261
IFI44L,15941
IFI44,16046
ADGRL4,1419
ADGRL2,2401
TTLL7,820
PRKACB,1857
SAMD13,257
DNASE2B,127
RPF1,2204
GNG5,851
SPATA1,220
CTBS,3283
SSX2IP,1697
LPAR3,296
MCOLN2,498
WDR63,92
