gene,count
SAMD11,287
NOC2L,2505
KLHL17,952
PLEKHN1,729
PERM1,217
HES4,4233
ISG15,4213
AGRN,14755
RNF223,109
C1ORF159,1299
TTLL10,131
TNFRSF18,567
TNFRSF4,190
SDF4,8878
B3GALT6,1228
C1QTNF12,176
UBE2J2,3793
SCNN1D,1417
ACAP3,6971
PUSL1,1210
INTS11,9784
CPTP,1737
TAS1R3,397
DVL1,5047
MXRA8,7417
AURKAIP1,8200
CCNL2,47436
ANKRD65,633
TMEM88B,3
VWA1,6591
ATAD3C,392
ATAD3B,2721
ATAD3A,911
TMEM240,439
SSU72,5450
FNDC10,1084
MIB2,3340
MMP23B,565
CDK11B,1848
CDK11A,339
NADK,3182
GNB1,8539
CALML6,432
TMEM52,123
CFAP74,141
GABRD,622
PRKCZ,3374
FAAP20,7414
SKI,7118
RER1,8901
PEX10,2235
PLCH2,1338
PANK4,2164
HES5,75
TNFRSF14,6395
PRXL2B,2208
MMEL1,76
ACTRT2,5
PRDM16,129
ARHGEF16,2082
MEGF6,4852
TPRG1L,3656
WRAP73,1602
TP73,202
CCDC27,6
SMIM1,723
LRRC47,5530
CEP104,3186
DFFB,792
C1ORF174,2546
AJAP1,174
NPHP4,1687
KCNAB2,972
CHD5,5
RNF207,997
ICMT,4265
GPR153,752
ACOT7,664
HES2,85
ESPN,412
TNFRSF25,2159
PLEKHG5,2912
NOL9,3425
TAS1R1,21
ZBTB48,2598
KLHL21,3483
PHF13,2785
THAP3,676
DNAJC11,2086
CAMTA1,6504
VAMP3,8773
PER3,2949
UTS2,30
TNFRSF9,81
ERRFI1,16294
SLC45A1,475
RERE,23464
ENO1,4515
CA6,10
SLC2A7,6
SLC2A5,156
GPR157,2077
H6PD,3003
SPSB1,2558
SLC25A33,2687
TMEM201,858
PIK3CD,661
CLSTN1,11414
CTNNBIP1,4114
LZIC,9209
NMNAT1,1076
RBP7,825
UBE4B,6753
KIF1B,8422
PGD,7117
CENPS,2808
CORT,63
DFFA,2670
PEX14,733
CASZ1,5391
C1ORF127,55
MASP2,21
SRM,10403
EXOSC10,5319
MTOR,3291
ANGPTL7,8
UBIAD1,2344
DISP3,75
FBXO2,205
FBXO44,1972
FBXO6,1087
MAD2L2,2269
DRAXIN,64
AGTRAP,8251
C1ORF167,22
MTHFR,2754
CLCN6,1990
NPPA,11
KIAA2013,4811
PLOD1,4137
MFN2,3993
MIIP,2169
