gene,count
A1BG,6458
A1CF,1004
A2M,33510
A2ML1,5238
A3GALT2,687
A4GALT,45563
A4GNT,4454
AAAS,35085
AACS,27863
AADAC,3028
AADACL2,5087
AADACL3,1483
AADACL4,4459
AADAT,14117
AAGAB,93812
AAK1,45795
AAMDC,42120
AAMP,52155
AANAT,8276
AAR2,20567
AARD,34838
AARS1,74741
AARS2,20931
AARSD1,22976
AASDH,29762
AASDHPPT,20703
AASS,28534
AATF,21483
AATK,2964
ABAT,30400
ABCA1,47847
ABCA10,30379
ABCA12,8463
ABCA13,3217
ABCA2,72815
ABCA3,21195
ABCA4,5493
ABCA5,87985
ABCA6,77097
ABCA7,7598
ABCA8,36778
ABCA9,38123
ABCB1,10218
ABCB10,906
ABCB11,1475
ABCB4,1442
ABCB5,4270
ABCB6,666
ABCB7,19007
ABCB8,25060
ABCB9,890
ABCC1,13432
ABCC11,4661
ABCC12,2706
ABCC2,8380
ABCC3,23267
ABCC4,2915
ABCC5,84422
ABCC6,3158
ABCC8,4578
ABCC9,15701
ABCD1,8940
ABCD2,4617
ABCD3,58469
ABCD4,15531
ABCE1,13742
ABCF1,67927
ABCF2,9160
ABCF3,44438
ABCG1,20152
ABCG2,7078
ABCG4,2207
ABCG5,4182
ABCG8,2337
ABHD1,4255
ABHD10,36034
ABHD11,53809
ABHD12,42706
ABHD12B,2177
ABHD13,27633
ABHD14A,3303
ABHD14B,48986
ABHD15,15708
ABHD16A,11963
ABHD16B,760
ABHD17A,6339
ABHD17B,21716
ABHD17C,17229
ABHD18,36783
ABHD2,328988
ABHD3,43345
ABHD4,43483
ABHD5,13096
ABHD6,5596
ABHD8,10260
ABI1,52203
ABI2,51890
ABI3,2868
ABI3BP,25315
ABITRAM,16946
ABL1,48885
ABL2,24244
ABLIM1,59432
ABLIM2,5315
ABLIM3,25185
ABO,5631
ABR,10503
ABRA,1621
ABRACL,2567
ABRAXAS1,22964
ABRAXAS2,37468
ABT1,9774
ABTB1,7142
ABTB2,3648
ABTB3,5773
ACAA1,57724
ACAA2,8876
ACACA,32536
ACACB,5529
ACAD10,22655
ACAD11,49933
ACAD8,48409
ACAD9,50983
ACADL,5363
ACADM,65962
ACADS,9714
ACADSB,223388
ACADVL,107588
ACAN,1958
ACAP1,9646
ACAP2,13115
ACAP3,20004
ACAT1,42740
ACAT2,43484
ACBD3,136805
ACBD4,13395
ACBD5,67039
ACBD6,92954
ACBD7,10101
ACCS,7996
ACCSL,3445
ACD,20528
ACE,37812
ACE2,1341
ACER1,1260
ACER3,8976
ACHE,5379
ACIN1,60900
ACKR1,7148
ACKR2,5879
ACKR3,3008
ACLY,42348
ACMSD,3678
ACO1,17086
ACO2,18418
ACOD1,3619
ACOT1,1851
ACOT11,5360
ACOT12,5524
ACOT13,38742
ACOT2,7231
ACOT4,7361
ACOT6,2220
ACOT7,18204
ACOT8,15745
ACOT9,19460
ACOX1,75282
ACOX2,5020
ACOX3,50903
ACOXL,2758
ACP1,42632
ACP2,31869
ACP3,3160
ACP4,1559
ACP5,77167
ACP6,27530
ACP7,3040
