gene,count
A1BG,8439
A1CF,1083
A2M,33715
A2ML1,445788
A3GALT2,1255
A4GALT,146091
A4GNT,6782
AAAS,57674
AACS,60204
AADAC,6351
AADACL2,6943
AADACL3,1170
AADACL4,4529
AADAT,36228
AAGAB,141723
AAK1,110553
AAMDC,45247
AAMP,92482
AANAT,9308
AAR2,15467
AARD,4347
AARS1,53843
AARS2,29721
AARSD1,50717
AASDH,22136
AASDHPPT,29505
AASS,33359
AATF,62635
AATK,6771
ABAT,15714
ABCA1,66738
ABCA10,6158
ABCA12,32365
ABCA13,6889
ABCA2,54460
ABCA3,16813
ABCA4,6706
ABCA5,71215
ABCA6,20637
ABCA7,29606
ABCA8,9938
ABCA9,11096
ABCB1,15453
ABCB10,1581
ABCB11,2326
ABCB4,1926
ABCB5,2593
ABCB6,1559
ABCB7,81279
ABCB8,27463
ABCB9,2111
ABCC1,30665
ABCC11,2661
ABCC12,1931
ABCC2,8276
ABCC3,29825
ABCC4,8981
ABCC5,75044
ABCC6,4137
ABCC8,3364
ABCC9,29298
ABCD1,16797
ABCD2,17869
ABCD3,49744
ABCD4,24180
ABCE1,14599
ABCF1,156415
ABCF2,20399
ABCF3,72931
ABCG1,24562
ABCG2,11729
ABCG4,2835
ABCG5,3607
ABCG8,2361
ABHD1,6056
ABHD10,60747
ABHD11,36485
ABHD12,69467
ABHD12B,1564
ABHD13,55703
ABHD14A,4117
ABHD14B,93903
ABHD15,21366
ABHD16A,24227
ABHD16B,2915
ABHD17A,15725
ABHD17B,31858
ABHD17C,58159
ABHD18,49388
ABHD2,72581
ABHD3,65722
ABHD4,42631
ABHD5,42470
ABHD6,24889
ABHD8,17040
ABI1,113271
ABI2,169254
ABI3,9564
ABI3BP,132551
ABITRAM,22366
ABL1,91593
ABL2,44965
ABLIM1,518565
ABLIM2,26959
ABLIM3,32826
ABO,3598
ABR,30764
ABRA,1890
ABRACL,7118
ABRAXAS1,24491
ABRAXAS2,72784
ABT1,28043
ABTB1,8592
ABTB2,26830
ABTB3,22994
ACAA1,88134
ACAA2,7455
ACACA,72755
ACACB,6833
ACAD10,20550
ACAD11,71833
ACAD8,36769
ACAD9,117599
ACADL,5671
ACADM,123716
ACADS,15269
ACADSB,33120
ACADVL,156081
ACAN,2194
ACAP1,65186
ACAP2,55634
ACAP3,45519
ACAT1,40937
ACAT2,141134
ACBD3,268605
ACBD4,25313
ACBD5,67458
ACBD6,102288
ACBD7,20904
ACCS,14631
ACCSL,3732
ACD,18913
ACE,43723
ACE2,4848
ACER1,1989
ACER3,31205
ACHE,29441
ACIN1,52886
ACKR1,13734
ACKR2,22239
ACKR3,7087
ACLY,45773
ACMSD,4121
ACO1,45576
ACO2,38410
ACOD1,4411
ACOT1,7475
ACOT11,54089
ACOT12,5093
ACOT13,44764
ACOT2,14432
ACOT4,6737
ACOT6,3861
ACOT7,42565
ACOT8,18013
ACOT9,60041
ACOX1,52200
ACOX2,8877
ACOX3,34517
ACOXL,3622
ACP1,61503
ACP2,50427
ACP3,10495
ACP4,2993
ACP5,103975
ACP6,38400
ACP7,10883
ACRV1,3285
ACSBG1,5184
ACSBG2,2141
ACSF2,7293
ACSF3,20659
ACSL1,65754
ACSL3,230298
ACSL4,168159
ACSL5,20364
ACSM1,4674
ACSM2A,378
ACSM2B,8158
ACSM3,8121
ACSM4,2026
ACSM5,2778
ACSM6,3913
ACSS1,16930
ACSS2,197878
ACSS3,5894
ACTA1,1712
ACTA2,25264
ACTBL2,5481
ACTC1,1688
ACTG1,377731
ACTG2,23794
ACTL10,22237
ACTL6A,111764
ACTL6B,5586
ACTL7A,4429
ACTL7B,2508
ACTL8,3507
ACTL9,629
ACTMAP,11420
ACTN1,100076
ACTN2,3553
ACTN3,2863
ACTN4,742936
ACTR10,73179
ACTR1A,100980
ACTR1B,166312
ACTR2,78525
ACTR3,146163
ACTR3B,10047
ACTR3C,9133
ACTR5,19449
ACTR6,53554
ACTR8,17432
ACTRT1,2835
ACTRT3,13100
ACVR1,24783
ACVR1B,93778
ACVR1C,6398
ACVR2A,46323
ACVR2B,11127
ACVRL1,20290
ACY1,22965
ACY3,7558
ACYP1,103741
ACYP2,30285
ADA,42220
ADA2,70275
ADAD1,4690
ADAD2,5999
ADAL,50431
ADAM10,234018
ADAM11,4541
ADAM12,74597
ADAM15,255322
ADAM17,169468
ADAM18,2105
ADAM19,70920
ADAM2,4137
ADAM20,10874
ADAM21,1365
ADAM22,17287
ADAM23,37642
ADAM28,54091
ADAM29,3902
ADAM30,4707
ADAM32,6259
ADAM33,47594
ADAM7,1162
ADAM8,81406
ADAM9,130883
ADAMDEC1,39277
ADAMTS1,90595
ADAMTS10,40334
ADAMTS12,8870
ADAMTS13,4785
ADAMTS14,3163
ADAMTS15,2974
ADAMTS16,3244
ADAMTS17,8027
ADAMTS18,3756
ADAMTS19,9993
ADAMTS2,56129
ADAMTS20,4017
ADAMTS3,3772
ADAMTS4,62074
ADAMTS5,12280
ADAMTS6,7831
ADAMTS7,3826
ADAMTS8,1979
ADAMTS9,16206
ADAMTSL1,4519
ADAMTSL2,6803
ADAMTSL3,6018
ADAMTSL4,7138
ADAMTSL5,30251
ADAP1,3920
ADAP2,10707
ADAR,311945
ADARB1,2447
ADARB2,1893
ADAT1,41439
ADAT2,25057
ADAT3,2667
ADCK2,46277
ADCK5,16493
ADCY1,24574
ADCY10,5819
ADCY2,5214
ADCY3,26069
ADCY4,6185
ADCY5,283
ADCY6,9114
ADCY7,37296
ADCY8,2397
ADCY9,57759
ADCYAP1,13126
ADCYAP1R1,3843
ADD1,131969
ADD2,6687
ADD3,209531
ADGB,1652
ADGRA1,2129
ADGRA2,25895
ADGRA3,26511
ADGRB1,8317
ADGRB2,11942
ADGRB3,2787
ADGRD1,11102
ADGRD2,1842
ADGRE1,3045
ADGRE2,12357
ADGRE3,5129
ADGRE5,94149
ADGRF1,52580
ADGRF3,2453
ADGRF4,24819
ADGRF5,8836
ADGRG1,47565
ADGRG2,4231
ADGRG3,3049
ADGRG4,5126
ADGRG5,6203
ADGRG6,14536
ADGRG7,3301
ADGRL1,17560
ADGRL2,85295
ADGRL3,3022
ADGRL4,12435
ADGRV1,4923
ADH1A,1724
ADH1B,2481
ADH1C,2847
ADH4,1481
ADH5,3965
ADH6,2786
ADH7,17086
ADHFE1,11673
ADI1,7567
ADIG,803
ADIPOQ,7229
ADIPOR1,253858
ADIPOR2,79435
ADIRF,22152
ADISSP,17485
ADK,123747
ADM,113753
ADM2,14311
ADM5,4266
ADNP,146115
ADNP2,71574
ADO,59654
ADORA1,4560
ADORA2A,6516
ADORA2B,57143
ADORA3,10796
ADPGK,97632
ADPRH,16984
ADPRHL1,4060
ADPRM,13761
ADPRS,49153
ADRA1A,5093
ADRA1B,3994
ADRA1D,3314
ADRA2A,37264
ADRA2B,5657
ADRA2C,29750
ADRB1,7699
ADRB2,38356
ADRB3,3225
ADRM1,32357
ADSL,109100
ADSS1,12699
ADSS2,135995
ADTRP,12843
AEBP1,378019
AEBP2,198162
AEN,34304
AFAP1,49881
AFAP1L1,13964
AFAP1L2,143460
AFDN,180221
AFF1,144960
AFF2,4171
AFF3,20031
AFF4,60819
AFG1L,4686
AFG3L2,60650
AFM,4845
AFP,39
AFTPH,71281
AGA,39490
AGAP1,25449
AGAP2,31359
AGAP3,17743
AGAP5,83534
AGAP9,37055
AGBL1,1819
AGBL2,4738
AGBL3,2953
AGBL4,2490
AGBL5,39539
AGER,13781
AGFG2,56836
AGGF1,6841
AGK,22895
AGL,58330
AGMAT,12190
AGMO,2008
AGO1,29572
AGO2,71925
AGO3,41904
AGO4,53314
AGPAT1,106747
AGPAT2,12738
AGPAT3,100069
AGPAT4,16674
AGPAT5,32970
AGPS,144504
AGR2,11468
AGR3,5329
AGRN,121543
AGRP,949
AGT,2364
AGTPBP1,38900
AGTR1,6096
AGTR2,10312
AGTRAP,105910
AGXT,5134
AGXT2,1189
AHCTF1,2692
AHCY,218972
AHCYL1,24322
AHCYL2,17618
AHDC1,59343
AHI1,30949
AHNAK,195466
AHNAK2,66374
AHR,62652
AHRR,3468
AHSG,5135
AHSP,3749
AICDA,2813
AIDA,45654
AIF1,23363
AIF1L,15498
AIFM1,30037
AIFM2,20437
AIFM3,6737
AIG1,69777
AIM2,72240
AIMP1,96479
AIMP2,40476
AIPL1,4559
AIRE,2648
AJAP1,4827
AJM1,6824
AJUBA,37506
AK1,31816
AK3,99317
AK4,64261
AK5,5112
AK6,27676
AK7,8665
AK8,13007
AK9,37613
AKAIN1,2095
AKAP1,105526
AKAP10,110294
AKAP11,95021
AKAP12,27645
AKAP13,303910
AKAP14,4565
AKAP3,5258
AKAP5,42147
AKAP6,6600
AKAP7,20953
AKAP8,39114
AKAP8L,91907
AKAP9,152868
AKIP1,64245
AKIRIN1,21207
AKIRIN2,176132
AKNA,87606
AKR1A1,346527
AKR1B1,166459
AKR1B10,8080
AKR1B15,8357
AKR1C1,9248
AKR1C2,5990
AKR1C3,20224
AKR1C4,4207
AKR1C8,2800
AKR1D1,1135
AKR1E2,70759
AKR7A2,36471
AKR7A3,2170
AKT1,283607
AKT1S1,24845
AKT2,105857
AKT3,74476
AKTIP,11233
ALAD,58045
ALAS1,71917
ALAS2,2928
ALB,3174
ALCAM,87279
ALDH16A1,50692
ALDH18A1,78044
ALDH1A1,2280
ALDH1A2,33128
ALDH1A3,67384
ALDH1B1,22592
ALDH1L1,31373
ALDH1L2,26034
ALDH2,387291
ALDH3A1,9298
ALDH3A2,142142
ALDH3B1,35886
ALDH3B2,73166
ALDH4A1,15462
ALDH5A1,41829
ALDH6A1,23696
ALDH7A1,10986
ALDH8A1,3028
ALDH9A1,139374
ALDOA,6471
ALDOB,575
ALDOC,18002
ALG1,29114
ALG10,9469
ALG10B,60724
ALG11,7834
ALG12,25407
ALG13,89370
ALG14,41458
ALG2,45716
ALG3,3028
ALG5,19829
ALG6,33897
ALG8,45290
ALG9,23173
ALK,1814
ALKAL1,3142
ALKAL2,7219
ALKBH1,8999
ALKBH2,35015
ALKBH3,49754
ALKBH4,12079
ALKBH5,2423
ALKBH6,12315
ALKBH7,1764
ALKBH8,15678
ALLC,2482
ALMS1,68113
ALOX12,22902
ALOX12B,20036
ALOX15,3355
ALOX15B,9243
ALOX5,51686
ALOX5AP,50605
ALOXE3,5746
ALPG,343
ALPI,1480
ALPK1,18297
ALPK2,9082
ALPK3,7527
ALPL,7902
ALPP,4983
ALS2,31345
ALS2CL,18570
ALX1,5958
ALX3,14181
ALX4,3551
ALYREF,52838
AMACR,6292
AMBN,1180
AMBP,895
AMBRA1,42283
AMD1,31480
AMDHD1,5332
AMDHD2,20638
AMELX,2968
AMER1,14756
AMER2,2463
AMER3,2124
AMFR,59963
AMH,28653
AMHR2,3400
AMIGO1,3640
AMIGO2,9134
AMMECR1,69195
AMMECR1L,12354
AMN,20879
AMN1,25507
AMOT,30846
AMOTL1,88818
AMOTL2,120831
AMPD1,2720
AMPD2,19847
AMPD3,62053
AMPH,10242
AMT,15517
AMTN,4445
AMY2B,7145
AMZ1,7311
AMZ2,41498
ANAPC1,16400
ANAPC10,26889
ANAPC11,29989
ANAPC13,33168
ANAPC15,60598
ANAPC16,173485
ANAPC2,41289
ANAPC4,59638
ANAPC5,90076
ANAPC7,107188
ANG,4637
ANGEL1,13505
ANGEL2,34285
ANGPT1,15926
ANGPT2,4678
ANGPT4,3878
ANGPTL1,13126
ANGPTL2,42865
ANGPTL3,1508
ANGPTL4,3641
ANGPTL5,4119
ANGPTL6,3586
ANGPTL7,4232
ANGPTL8,3518
ANHX,2175
ANK1,5096
ANK2,36395
ANK3,61784
ANKAR,18665
ANKDD1A,55287
ANKDD1B,4279
ANKEF1,9947
ANKFN1,3612
ANKFY1,109775
ANKH,67204
ANKHD1,377891
ANKIB1,138288
ANKK1,3433
ANKLE1,3173
ANKLE2,194674
ANKMY1,20384
ANKMY2,38798
ANKRA2,82070
ANKRD1,2812
ANKRD10,126999
ANKRD11,68355
ANKRD12,244886
ANKRD13A,175564
ANKRD13B,14903
ANKRD13C,85582
ANKRD13D,33824
ANKRD16,22636
ANKRD17,140038
ANKRD18A,8938
ANKRD18B,14162
ANKRD2,1783
ANKRD22,39382
ANKRD23,42
ANKRD24,4585
ANKRD26,30614
ANKRD27,37527
ANKRD28,96396
ANKRD29,33665
ANKRD30A,7105
ANKRD30B,902
ANKRD30BL,16689
ANKRD31,1494
ANKRD33,5188
ANKRD33B,14410
ANKRD34A,7774
ANKRD34B,9463
ANKRD34C,3800
ANKRD35,26142
ANKRD36B,16000
ANKRD36C,127897
ANKRD37,63996
ANKRD39,18062
ANKRD40,123908
ANKRD40CL,7676
ANKRD42,32418
ANKRD44,85662
ANKRD45,1714
ANKRD46,26110
ANKRD49,14978
ANKRD50,36689
ANKRD52,47247
ANKRD53,7319
ANKRD54,44587
ANKRD55,8073
ANKRD6,30599
ANKRD60,2571
ANKRD61,3560
ANKRD62,2927
ANKRD65,38872
ANKRD66,2954
ANKRD7,4676
ANKRD9,15628
ANKS1A,46300
ANKS1B,3092
ANKS3,31622
ANKS4B,4142
ANKS6,20644
ANKUB1,4422
ANKZF1,51753
ANLN,28701
ANO1,127942
ANO10,36653
ANO2,5353
ANO3,4021
ANO4,10840
ANO5,4016
ANO6,65705
ANO7,10119
ANO8,16275
ANO9,26168
ANOS1,22400
ANP32A,72112
ANP32B,47955
ANP32D,52
ANP32E,201409
ANPEP,28864
ANTKMT,44925
ANTXR1,45205
ANTXR2,45066
ANTXRL,3124
ANXA1,15794
ANXA10,5315
ANXA11,87918
ANXA13,4380
ANXA2,823972
ANXA2R,17485
ANXA3,101564
ANXA4,25391
ANXA5,464831
ANXA6,24219
ANXA7,212408
ANXA9,15372
AOAH,61562
AOC1,5116
AOC2,11713
AOC3,7377
AOX1,6111
AP1AR,98116
AP1B1,140505
AP1G1,69301
AP1G2,127804
AP1M1,86096
AP1S1,53558
AP1S3,12076
AP2A1,45401
AP2A2,40877
AP2B1,1078
AP2M1,447209
AP2S1,135306
AP3B1,223985
AP3B2,8603
AP3D1,50582
AP3M1,25269
AP3M2,36891
AP3S1,10183
AP3S2,15038
AP4B1,36104
AP4E1,23967
AP4M1,26593
AP4S1,36217
AP5M1,54627
AP5S1,3017
AP5Z1,34213
APAF1,24767
APBA1,15592
APBA2,12539
APBB1,22774
APBB1IP,70533
APBB2,39067
APBB3,20489
APC,107399
APC2,2051
APCDD1,65105
APCDD1L,4808
APCS,2180
APEH,38258
APELA,2391
APEX1,141022
APEX2,126935
APH1A,56793
APH1B,22979
API5,140830
APIP,5436
APLF,107326
APLN,4882
APLNR,5245
APLP1,6313
APLP2,22485
APMAP,67777
APOA1,609
APOA2,4333
APOA4,1205
APOA5,4582
APOB,5272
APOBEC1,2861
APOBEC2,6149
APOBEC3A,61658
APOBEC3B,45368
APOBEC3C,30318
APOBEC3D,33516
APOBEC3F,30992
APOBEC3G,85768
APOBEC3H,15539
APOBEC4,6443
APOBR,52234
APOC1,4878
APOC2,916
APOC3,1468
APOC4,2046
APOE,144327
APOF,7626
APOH,2197
APOL1,262573
APOL2,134399
APOL3,63391
APOL4,11162
APOL5,4651
APOL6,107641
APOLD1,52285
APOM,11614
APOO,22527
APOOL,115830
APP,312266
APPBP2,102786
APPL1,152120
APPL2,124356
APRT,82162
APTX,27676
AQP1,13524
AQP10,4023
AQP11,6878
AQP12B,8471
AQP2,5637
AQP4,2611
AQP5,490
AQP6,4517
AQP7,3935
AQP7B,4428
AQP8,2414
AQP9,10663
AQR,24940
AR,53449
ARAF,141002
ARAP1,80573
