condition,n,reject,singlet,doublet,immune_of_singlets,T_NK_of_singlets,malignant_of_singlets,stroma_of_singlets,endothelial_of_singlets
ORIGINAL Atera section 5k,5000,0.088,0.3356,0.5764,0.15971394517282478,0.10488676996424315,0.4135876042908224,0.3307508939213349,0.09535160905840286
ORIGINAL Atera Proseg window 2.5k,2500,0.0752,0.3812,0.5436,0.161594963273872,0.09233997901364113,0.5676810073452256,0.20461699895068206,0.06610703043022036
ORIGINAL StrataMap G1 section 5k,5000,0.556,0.444,0.0,0.01126126126126126,0.0009009009009009009,0.8797297297297297,0.08108108108108109,0.027927927927927927
ORIGINAL StrataMap Proseg window 5k,4999,0.21164232846569314,0.7635527105421084,0.02480496099219844,0.022268797484935814,0.0005239717055279015,0.7288446423893109,0.19255960178150378,0.05632695834424941
atera_vendor_fixed,12398,0.13994192611711567,0.2910146797870624,0.5690433940958219,0.09839246119733924,0.06180709534368071,0.6577050997782705,0.2189578713968958,0.024944567627494457
atera_proseg_fixed,12388,0.13149822408782694,0.27010009686793673,0.5984016790442364,0.08398087268380156,0.03735803945008966,0.6443514644351465,0.23998804542737598,0.031679617453676034
sm_vendor_fixed,21419,0.18520939352910967,0.6932163032821327,0.12157430318875764,0.008688038793103448,0.00013469827586206896,0.710870150862069,0.2568022629310345,0.023639547413793104
sm_proseg_fixed,20503,0.19094766619519093,0.6374189143052236,0.17163341949958544,0.014155635473257327,0.0001530338970081873,0.7211722396510827,0.2353661335985921,0.029305991277067872
sm_vendor_orig,21425,0.45927654609101515,0.5382497082847141,0.002473745624270712,0.007370794311481097,0.0,0.8624696496704821,0.12469649670482136,0.005463059313215401
sm_proseg_orig,20725,0.29592279855247283,0.6572738238841979,0.04680337756332931,0.012332990750256937,0.0004404639553663192,0.7854940537366025,0.1840405226838937,0.018132432829246807
